Τμήμα: Γαστρεντερολογία | Ημερομηνία: 2026-03-03 | Βάρδια: Απογευματινή Βάρδια (15:00-23:00) | Τύπος Προσωπικού: Διοικητικό Προσωπικό | Υποκατηγορία: Γραμματέας | Αριθμός Προσωπικού: 1
Τμήμα: Γαστρεντερολογία | Ημερομηνία: 2026-03-03 | Βάρδια: Απογευματινή Βάρδια (15:00-23:00) | Τύπος Προσωπικού: Διοικητικό Προσωπικό | Υποκατηγορία: Υπεύθυνος Αρχείου | Αριθμός Προσωπικού: 1
Τμήμα: Γαστρεντερολογία | Ημερομηνία: 2026-03-03 | Βάρδια: Απογευματινή Βάρδια (15:00-23:00) | Τύπος Προσωπικού: Ιατρός | Υποκατηγορία: Γαστρεντερολογία | Αριθμός Προσωπικού: 3
Τμήμα: Γαστρεντερολογία | Ημερομηνία: 2026-03-03 | Βάρδια: Απογευματινή Βάρδια (15:00-23:00) | Τύπος Προσωπικού: Νοσηλευτής | Υποκατηγορία: Βοηθός Νοσηλευτή | Αριθμός Προσωπικού: 4
Τμήμα: Γαστρεντερολογία | Ημερομηνία: 2026-03-03 | Βάρδια: Απογευματινή Βάρδια (15:00-23:00) | Τύπος Προσωπικού: Νοσηλευτής | Υποκατηγορία: Νοσηλευτής | Αριθμός Προσωπικού: 2
Τμήμα: Γαστρεντερολογία | Ημερομηνία: 2026-03-03 | Βάρδια: Νυχτερινή Βάρδια (23:00-07:00) | Τύπος Προσωπικού: Διοικητικό Προσωπικό | Υποκατηγορία: Λογιστής | Αριθμός Προσωπικού: 1
Τμήμα: Γαστρεντερολογία | Ημερομηνία: 2026-03-03 | Βάρδια: Νυχτερινή Βάρδια (23:00-07:00) | Τύπος Προσωπικού: Διοικητικό Προσωπικό | Υποκατηγορία: Υπεύθυνος Αρχείου | Αριθμός Προσωπικού: 1
Τμήμα: Γαστρεντερολογία | Ημερομηνία: 2026-03-03 | Βάρδια: Νυχτερινή Βάρδια (23:00-07:00) | Τύπος Προσωπικού: Ιατρός | Υποκατηγορία: Γαστρεντερολογία | Αριθμός Προσωπικού: 3
Τμήμα: Γαστρεντερολογία | Ημερομηνία: 2026-03-03 | Βάρδια: Νυχτερινή Βάρδια (23:00-07:00) | Τύπος Προσωπικού: Νοσηλευτής | Υποκατηγορία: Βοηθός Νοσηλευτή | Αριθμός Προσωπικού: 2
Τμήμα: Γαστρεντερολογία | Ημερομηνία: 2026-03-03 | Βάρδια: Νυχτερινή Βάρδια (23:00-07:00) | Τύπος Προσωπικού: Νοσηλευτής | Υποκατηγορία: Νοσηλευτής | Αριθμός Προσωπικού: 3
Τμήμα: Γαστρεντερολογία | Ημερομηνία: 2026-03-03 | Βάρδια: Νυχτερινή Βάρδια (23:00-07:00) | Τύπος Προσωπικού: Νοσηλευτής | Υποκατηγορία: Προϊστάμενος | Αριθμός Προσωπικού: 1
